property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,independent,sector 3,0.55,7333.0,1,1,0,1.0,Old Property,829.0,750.03,675.0,0,0,0,0,0,0,0
flat,tulip lemon,sector 69,0.62,12863.0,2,2,1,4.0,Relatively New,601.28,536.0,482.01,0,0,0,0,0,1,108
flat,m3m skycity,sector 65,2.85,15590.0,3,3,3,43.0,Under Construction,1828.03,1654.0,1489.0,0,0,0,0,0,0,115
flat,mapsko royale ville,sector 82,0.99,5530.0,3,4,2,14.0,New Property,1790.04,1620.0,1458.0,0,1,0,0,0,0,95
flat,emaar mgf emerald floors premier,sector 65,2.55,15454.0,3,3,3,3.0,Relatively New,1650.0,1469.0,1299.96,1,1,0,0,0,0,21
flat,supertech araville,sector 79,1.45,7455.0,3,3,3,3.0,Relatively New,2425.26,2161.0,1945.04,0,0,0,0,0,0,0
flat,cghs airport apartment,sector 47,1.8,6000.0,4,4,3+,4.0,Moderately Old,3000.01,2857.0,2700.02,0,0,1,0,0,1,120
flat,m3m skywalk,sector 74,1.4,9831.0,2,2,2,17.0,New Property,1423.96,1289.0,1160.0,0,0,0,0,0,1,167
flat,pioneer araya,sector 62,9.2,19943.0,4,6,3,5.0,Relatively New,4612.98,3867.0,3203.01,0,1,0,1,0,1,156
flat,green court,sector 90,0.47,6811.0,2,2,1,0.0,New Property,860.55,767.0,689.97,0,0,0,0,0,0,49
flat,ss,sector 85,1.18,7170.0,2,2,3,4.0,Relatively New,1639.99,1629.98,1619.97,0,0,0,0,0,0,49
house,dlf city plots phase 2,sector 25,4.25,31481.0,3,2,3,2.0,Old Property,1492.0,1350.01,1215.0,1,0,0,0,0,0,35
house,dlf city plots phase 2,sector 25,10.55,39074.0,5,6,3+,3.0,Moderately Old,2984.0,2700.02,2430.0,1,1,1,1,0,0,131
flat,pareena coban residences,sector 99a,1.3,6510.0,3,3,0,16.0,New Property,2207.0,1997.03,1797.0,0,0,0,0,0,0,0
flat,kanchanjanga tower,sector 56,1.45,7631.0,3,3,3+,2.0,Moderately Old,1900.04,1719.0,1547.0,0,0,0,0,0,1,126
flat,imperia the esfera,sector 37c,0.86,5449.0,2,3,3,9.0,Relatively New,1577.99,1442.0,1309.97,1,0,0,0,1,0,49
flat,shree vardhman flora,sector 90,1.25,4854.0,4,4,3,10.0,Relatively New,3210.84,2861.0,2575.05,1,0,0,1,0,0,174
flat,dlf the primus,sector 82a,2.25,10714.0,3,3,3+,29.0,Relatively New,2618.41,2333.0,2100.04,0,1,0,0,0,2,72
flat,sapphire eighty three,sector 83,0.4,8547.0,1,1,1,6.0,Relatively New,583.57,520.0,468.01,0,0,0,0,0,2,52
flat,sobha city,sector 108,2.95,14727.0,3,4,2,12.0,Relatively New,2002.95,1599.95,1399.95,0,0,0,0,0,0,49
flat,mapsko mount ville,sector 79,1.2,8053.0,3,3,3,24.0,Relatively New,1490.05,1348.0,1213.0,0,0,0,0,0,1,8
flat,dlf the skycourt,sector 86,1.55,8031.0,3,3,3,5.0,Relatively New,1929.97,1900.04,1719.96,0,0,0,0,0,0,49
flat,ansals highland park,dwarka expressway,1.2,6185.0,3,3,3+,4.0,Under Construction,2144.0,1939.98,1746.0,0,1,0,0,0,0,0
house,independent,sector 2,2.95,15989.0,4,4,3+,2.0,Old Property,2039.0,1845.04,1661.0,0,0,0,0,0,0,27
flat,4s aradhya homes,sector 67a,1.9,8863.0,4,4,3,3.0,New Property,2200.03,1991.0,1792.0,0,0,0,0,0,1,62
flat,godrej oasis,sector 88a,0.95,7268.0,2,2,2,6.0,Relatively New,1629.59,1452.0,1306.95,0,0,0,0,0,0,79
flat,shree vardhman flora,sector 90,0.75,5769.0,2,2,3,8.0,Relatively New,1620.75,1444.0,1299.96,0,0,0,0,0,0,60
flat,emaar mgf emerald estate,sector 65,1.3,20602.0,2,2,2,7.0,Relatively New,1019.99,812.0,630.98,1,0,0,0,0,0,78
flat,signature global park,sohna road,0.78,6404.0,3,3,3,1.0,Relatively New,1508.53,1344.0,1209.97,0,0,0,1,0,0,150
flat,ss the leaf,sector 85,1.2,7317.0,2,2,3,6.0,Relatively New,1639.99,1299.96,999.97,0,0,0,0,0,1,174
flat,ss the leaf,sector 85,1.04,8320.0,2,2,3,17.0,New Property,1639.99,1550.0,1250.01,0,0,0,0,1,0,145
flat,shree vardhman flora,sector 90,1.25,4854.0,4,5,2,8.0,Relatively New,2575.05,2330.0,2097.0,1,1,0,0,0,0,165
house,international city by sobha phase 1,sector 109,5.75,16428.0,4,4,2,3.0,Relatively New,4867.64,4799.95,3499.99,0,1,0,0,0,0,146
house,ss aaron ville,sector 49,6.75,19737.0,5,4,2,2.0,Old Property,3779.0,3420.01,3078.0,1,1,1,0,0,0,78
flat,ansal heights 86,sector 86,0.95,5621.0,3,2,1,6.0,New Property,2107.47,1878.0,1690.04,0,0,0,0,0,0,15
flat,signature global solera,sector 107,0.35,6489.0,2,2,2,8.0,Relatively New,682.21,608.0,547.02,0,0,0,0,0,0,45
flat,tarc maceo,sector 91,0.87,6641.0,2,2,2,9.0,Relatively New,1309.97,1148.0,999.97,0,0,1,0,0,0,78
house,international city by sobha phase 2,sector 109,6.2,25514.0,5,5,2,2.0,Relatively New,2685.0,2429.95,2187.0,0,1,0,0,0,0,135
flat,conscient elevate,sector 59,6.75,19882.0,4,4,2,10.0,New Property,3395.04,2567.0,1855.05,0,1,0,0,0,0,31
flat,dlf the primus,sector 82a,3.5,13430.0,5,5,3+,14.0,Relatively New,3249.8,2896.0,2606.05,1,0,0,0,0,2,49
flat,bestech park view grand spa,sector 81,2.25,8458.0,3,4,3+,8.0,Relatively New,2659.97,2300.03,2100.04,1,1,1,0,0,1,122
flat,microtek greenburg,sector 86,1.25,8445.0,3,4,3,0.0,Relatively New,1480.04,1339.0,1205.0,1,0,0,0,0,0,49
flat,the arzoo cghs,sector 51,2.1,9130.0,4,4,3,1.0,Relatively New,2542.0,2300.03,2070.0,0,0,0,0,0,0,58
house,bptp astaire gardens,sector 70a,1.18,8137.0,3,3,3+,2.0,Relatively New,1808.0,1611.0,1450.0,0,0,0,0,1,1,153
house,independent,sector 55,1.64,10123.0,3,3,2,4.0,New Property,1790.0,1619.97,1458.0,1,1,0,0,0,1,54
flat,shree vardhman flora,sector 90,0.92,4906.0,3,4,3,4.0,Relatively New,1874.96,1493.0,1160.99,0,1,0,0,0,0,116
flat,antriksh heights,sector 84,1.02,4868.0,4,4,3+,11.0,Relatively New,2094.98,1896.0,1706.0,0,1,0,1,0,0,99
flat,unitech the residences,sector 33,1.35,8737.0,3,4,2,8.0,Moderately Old,1545.05,1398.0,1258.0,0,1,0,0,0,0,49
flat,the lions cghs,sector 56,2.05,8541.0,4,4,3+,8.0,Moderately Old,2992.86,2667.0,2400.03,0,0,0,0,0,1,49
flat,imperia the esfera,sector 37c,1.4,5384.0,4,5,3,9.0,Relatively New,2600.02,2343.0,2100.04,1,1,0,1,1,0,49
flat,huda housing board society,sector 52,0.45,9745.0,1,1,0,0.0,Moderately Old,575.76,513.0,461.77,0,0,0,1,0,1,43
flat,ashiana anmol,sohna road,0.99,8215.0,2,2,2,6.0,Under Construction,1205.02,1045.0,899.97,0,0,0,0,0,0,49
flat,breez global hill view,sohna road,0.35,5600.0,2,2,2,14.0,Relatively New,779.06,694.0,624.95,0,0,0,0,0,0,98
house,independent,sector 7,1.15,8518.0,5,3,2,2.0,Old Property,1492.0,1350.01,1215.0,0,0,0,1,0,0,15
flat,dlf regal gardens,sector 90,1.2,6837.0,3,3,3+,15.0,Relatively New,1754.95,1572.0,1399.95,0,0,0,0,0,0,118
flat,ss the leaf,sector 85,1.17,6720.0,2,3,3,10.0,Relatively New,1740.95,1550.0,1350.01,0,0,0,0,1,0,49
flat,eldeco accolade,sohna road,0.71,5607.0,2,2,3,10.0,Relatively New,1274.98,1154.0,1039.0,0,0,0,0,0,0,159
flat,afnhb jalvayu vihar,sector 30,0.85,12859.0,2,2,1,2.0,Old Property,823.99,734.0,661.01,0,0,0,0,1,1,49
flat,godrej aria,sector 79,0.96,13296.0,2,2,3,8.0,Relatively New,1350.98,1012.0,722.04,0,0,0,0,0,0,49
flat,central park flower valley,sector 33,2.5,13270.0,3,3,2,1.0,Under Construction,2349.06,2093.0,1884.01,0,0,0,0,0,0,66
flat,pareena mi casa,sector 68,1.1,8835.0,2,2,3,11.0,New Property,1244.95,1127.0,1014.0,0,0,0,0,0,0,95
house,ansals palam vihar,sector 2,9.0,19231.0,5,5,2,2.0,Old Property,5171.0,4680.04,4212.0,1,1,1,1,0,2,110
flat,dlf the ultima,sector 81,2.26,10761.0,3,4,3+,17.0,New Property,2100.04,1900.0,1710.0,0,1,0,0,0,2,174
flat,vatika city,sector 49,1.69,8622.0,3,3,3,3.0,Moderately Old,2444.12,2178.0,1960.0,0,0,0,1,0,0,136
house,independent,sector 26,20.0,44444.0,5,7,3+,3.0,Relatively New,4972.0,4499.96,4050.0,0,1,0,1,0,2,97
flat,smart world orchard,sector 61,1.85,14800.0,2,2,2,3.0,New Property,1558.74,1389.0,1250.01,0,0,0,0,0,0,44
flat,dlf the grove,sector 43,6.0,25000.0,4,4,2,1.0,Under Construction,2992.86,2667.0,2400.03,0,1,0,0,0,1,49
flat,m3m heights,sector 65,1.9,15000.0,2,2,3,4.0,Under Construction,1260.99,1141.0,1027.0,0,0,0,0,0,0,54
house,independent,sector 26,15.0,33200.0,5,6,3+,3.0,Moderately Old,4992.0,4518.04,4066.0,1,1,1,1,0,1,78
house,sheetla enclave,sector 5,0.96,10000.0,7,4,2,3.0,Moderately Old,1044.0,944.96,850.0,0,0,1,1,0,1,0
house,independent,sector 39,5.15,14072.0,5,5,0,1.0,Relatively New,4044.0,3660.0,3294.0,0,0,0,0,0,0,0
house,rwa sector 46,sector 46,3.5,21605.0,4,4,2,2.0,Relatively New,1790.0,1619.97,1458.0,0,0,0,1,0,1,30
flat,shree vardhman victoria,sector 70,1.62,13953.0,3,3,3,9.0,Relatively New,1949.99,1527.0,1160.99,0,1,0,0,0,0,96
flat,the close north,sector 50,2.97,11401.0,3,3,3+,8.0,Moderately Old,2604.97,2600.02,2100.04,0,1,0,0,0,1,174
flat,irwo westend towers,sector 47,0.65,12059.0,1,1,2,3.0,Old Property,672.13,599.0,538.95,0,0,0,0,0,0,56
flat,shree vardhman flora,sector 90,0.7,5325.0,2,2,3,9.0,New Property,1351.95,1350.01,1215.0,1,0,0,0,0,0,60
flat,valley view estate,gwal pahari,0.38,6089.0,1,1,1,11.0,Moderately Old,623.98,565.0,508.0,0,0,0,0,0,0,42
flat,viridian the plaza 106,sector 106,0.39,5571.0,1,1,1,7.0,Relatively New,699.98,567.0,450.04,0,0,0,0,0,0,130
flat,corona optus,sector 37c,1.43,7185.0,3,3,3+,2.0,Relatively New,1990.03,1845.0,1700.05,1,1,0,0,1,0,49
flat,smart world gems,sector 89,0.86,7796.0,2,3,2,4.0,New Property,1375.61,1226.0,1102.98,1,1,0,1,0,1,72
house,independent,sector 2,3.65,23442.0,9,9,3+,3.0,New Property,1720.0,1557.0,1401.0,0,1,0,1,0,1,116
flat,m3m woodshire,sector 107,1.4,5929.0,3,4,0,1.0,New Property,2360.95,2137.0,1923.0,0,0,0,0,0,0,67
flat,ambience creacions,sector 22,4.78,15469.0,3,4,3,7.0,Relatively New,3089.99,2500.02,2249.98,0,1,0,0,1,2,111
flat,eldeco accolade,sohna road,1.1,7549.0,2,2,3+,17.0,Relatively New,1457.0,1319.0,1187.0,1,0,0,0,1,1,7
flat,dlf the ultima,sector 81,2.4,11412.0,3,3,3+,12.0,Relatively New,2103.05,1650.0,1257.01,0,1,0,0,0,2,49
house,unitech uniworld resorts,sector 33,11.5,24573.0,5,6,3+,4.0,Relatively New,5171.0,4680.04,4212.0,0,1,0,0,0,0,84
house,satya the hermitage,sector 103,4.35,13501.0,4,4,3+,2.0,Relatively New,3560.0,3221.96,2900.0,1,1,1,1,0,0,138
flat,signature global park,sohna road,0.9,6254.0,3,3,3,3.0,Relatively New,1794.43,1599.0,1439.03,0,0,0,1,0,0,96
flat,sbtl caladium,sector 109,1.9,6219.0,4,4,3,8.0,Relatively New,3055.01,2765.0,2488.0,0,1,0,0,0,0,151
flat,conscient heritage max,sector 102,1.75,9062.0,3,4,3+,16.0,Relatively New,1931.04,1748.0,1573.0,0,1,0,0,0,0,134
flat,smart world orchard,sector 61,1.9,22700.0,3,3,3,1.0,New Property,1398.02,1136.99,837.0,0,0,0,0,0,0,30
flat,experion the heartsong,sector 108,2.28,8204.0,4,5,3+,8.0,Relatively New,2779.02,2515.0,2264.0,0,0,0,0,0,0,101
flat,umang winter hills,sector 77,0.99,7857.0,2,2,2,1.0,Relatively New,1260.02,1126.0,999.97,0,0,0,0,0,0,97
house,international city by sobha phase 2,sector 109,7.0,12963.0,4,4,3+,2.0,Relatively New,5967.0,5400.03,4860.0,0,0,0,0,0,1,102
flat,m3m skywalk,sector 74,1.52,13342.0,2,2,3,6.0,Relatively New,1399.95,1250.01,1139.25,0,0,1,0,0,0,174
flat,m3m golfestate,sector 65,7.0,18181.0,3,3,2,12.0,Moderately Old,4800.86,4278.0,3850.03,0,0,1,0,0,0,60
flat,godrej summit,sector 104,1.35,5014.0,4,5,3+,0.0,Relatively New,3356.66,2991.0,2691.94,1,1,1,1,0,0,88
flat,vipul lavanya,sector 81,0.6,6666.0,2,2,1,0.0,Under Construction,899.97,814.0,733.0,0,0,0,0,0,0,0
flat,dlf regal gardens,sector 90,1.78,8040.0,4,4,3+,12.0,Relatively New,2215.0,2005.0,1804.0,0,0,0,0,0,0,61
flat,m3m golfestate,sector 65,5.0,18518.0,3,3,3+,28.0,Relatively New,2979.02,2800.01,2700.02,0,1,0,1,0,1,165
flat,emaar mgf emerald floors premier,sector 65,2.5,15151.0,3,3,3,3.0,Relatively New,1650.0,1493.0,1344.0,1,1,0,0,0,0,15
flat,smart world orchard,sector 61,2.54,15500.0,3,3,3,2.0,Under Construction,2044.85,1822.0,1639.99,0,0,1,0,0,0,16
flat,eldeco accolade,sohna road,0.78,6170.0,2,2,2,3.0,Relatively New,1264.0,1144.0,1030.0,0,0,0,0,0,0,72
flat,woodstock floors,sector 50,1.05,10627.0,2,2,2,2.0,Moderately Old,1232.11,1098.0,988.02,0,0,0,0,0,0,53
flat,dlf new town heights,sector 90,1.25,8638.0,3,4,3+,0.0,Old Property,1804.44,1608.0,1446.99,0,1,0,0,0,2,31
flat,vatika city homes,sector 83,0.8,6060.0,2,2,2,8.0,Moderately Old,1319.98,1195.0,1076.0,0,0,1,0,0,0,22
flat,shapoorji pallonji joyville gurugram,sector 102,1.75,15514.0,3,3,3+,1.0,Relatively New,1852.04,1465.0,1127.95,0,0,0,0,0,0,49
flat,central park flower valley,sector 33,1.4,21538.0,3,3,3,2.0,Under Construction,650.03,588.0,529.0,0,0,0,0,0,0,54
flat,vatika the seven lamps,sector 82,1.39,6412.0,3,3,3+,11.0,Relatively New,2159.99,1955.0,1760.0,1,1,0,0,0,1,117
flat,godrej summit,sector 104,1.35,5000.0,4,5,3+,0.0,Relatively New,3366.75,3000.0,2700.02,1,1,1,1,0,0,112
flat,signature global city 37d ph 2,sector 37d,1.07,8237.0,3,3,2,2.0,Under Construction,1627.27,1450.0,1305.02,0,0,0,0,0,0,86
house,eldeco mansionz,sector 48,4.75,20299.0,7,7,3,2.0,Moderately Old,2586.0,2339.96,2106.0,1,0,0,0,0,1,33
flat,hsiidc sidco aravali,manesar,0.86,3323.0,3,3,3+,3.0,Moderately Old,2587.96,1900.04,1877.01,0,1,0,0,0,0,81
flat,conscient heritage max,sector 102,2.1,9772.0,3,4,3+,10.0,Relatively New,2149.01,1945.0,1750.0,1,1,0,0,0,0,53
flat,paras dews,sector 106,1.25,7102.0,3,4,3+,5.0,Relatively New,1760.01,1185.97,1129.99,0,1,0,0,0,0,165
flat,pyramid urban homes 2,sector 86,0.6,8000.0,3,2,2,2.0,New Property,935.04,833.0,750.03,0,0,0,0,0,0,13
house,independent,sector 26,5.8,32222.0,5,5,3+,2.0,Old Property,1989.0,1800.05,1620.0,1,1,1,1,0,0,53
flat,la vida by tata housing,sector 113,3.35,12444.0,4,4,3+,11.0,Relatively New,3356.66,2991.0,2691.94,1,1,0,0,0,0,174
flat,apna enclave,sector 3,0.5,7692.0,2,2,1,1.0,Old Property,810.41,722.0,650.03,0,0,0,0,0,1,37
flat,ss the leaf,sector 85,1.09,6661.0,2,2,3,5.0,Relatively New,1639.99,1474.98,1350.01,0,0,0,0,0,0,49
house,independent,sector 41,11.0,33951.0,4,4,2,3.0,New Property,3580.0,3240.04,2916.0,1,1,0,1,0,0,35
flat,paras dews,sector 106,1.28,7272.0,3,4,3+,24.0,Relatively New,1760.01,1185.97,1129.99,0,1,0,0,0,0,49
flat,signature global park,sohna road,0.54,7248.0,2,1,3,1.0,New Property,929.07,828.0,744.97,0,0,0,0,0,0,65
house,independent,sector 56,3.25,21495.0,5,6,3+,4.0,Relatively New,1671.0,1512.01,1361.0,0,0,0,1,1,1,27
flat,hero homes,sector 104,1.9,11249.0,3,3,3,16.0,Under Construction,1688.96,1365.0,1081.99,0,0,0,1,0,1,103
flat,m3m golfestate,sector 65,5.5,16959.0,3,4,3,3.0,Relatively New,3242.95,2803.03,2387.97,0,1,0,0,0,0,49
flat,rof ananda,sector 95,0.38,5899.0,2,2,2,5.0,Relatively New,803.34,716.0,644.11,1,0,0,0,0,0,83
flat,signature global park 4,sector 36,0.72,6660.0,3,2,3,3.0,Under Construction,1081.02,978.0,880.0,0,0,0,0,0,0,0
flat,alpha corp gurgaonone,sector 84,2.2,7586.0,4,4,3,10.0,Relatively New,3616.01,3222.0,2900.01,0,1,0,0,0,0,21
flat,sare homes,sector 92,0.58,4098.0,3,3,3,3.0,New Property,1415.02,1281.0,1153.0,0,0,0,0,0,0,54
flat,vatika gurgaon,sector 83,1.12,6455.0,3,3,2,17.0,Moderately Old,1735.03,1499.95,1399.95,0,0,0,0,0,1,111
flat,samadhan shri kamal cghs,sector 1,2.01,11426.0,4,4,3+,10.0,Moderately Old,2194.86,1956.0,1760.01,0,0,0,0,0,2,0
flat,dlf the ultima,sector 81,2.5,11726.0,3,3,2,20.0,Relatively New,2132.01,1700.05,1350.01,0,1,0,0,0,2,174
house,independent,sector 4,5.0,10101.0,3,3,2,1.0,Old Property,5470.0,4949.99,4455.0,0,0,0,0,0,0,22
flat,ireo victory valley,sector 67,2.95,12110.0,3,3,3+,14.0,Moderately Old,2435.98,2235.98,2035.99,0,1,0,1,0,1,165
flat,mapsko paradise,sector 83,0.95,6300.0,3,3,3,1.0,Moderately Old,1670.96,1489.0,1340.0,0,0,0,0,0,0,0
house,independent,sector 43,9.85,29638.0,5,5,2,3.0,Old Property,4157.0,3761.98,3386.0,1,1,0,1,0,0,21
flat,green court,sector 90,0.45,7188.0,2,2,1,2.0,New Property,780.85,696.0,626.03,0,0,0,0,0,1,42
flat,ss the leaf,sector 85,1.87,7780.0,3,4,3,7.0,Relatively New,2407.99,2225.01,2174.95,0,0,0,0,0,0,49
house,independent,sector 7,0.9,10000.0,6,4,3,3.0,Old Property,994.0,899.97,810.0,0,1,0,0,1,1,44
house,independent,sector 11,2.5,17857.0,5,4,3,1.0,Old Property,2044.0,1849.99,1665.0,0,0,1,0,0,0,0
flat,ace palm floors,sector 89,0.97,7863.0,2,2,2,1.0,New Property,1538.64,1371.0,1233.97,1,0,0,0,0,0,28
flat,parsvnath green ville,sector 48,1.6,8376.0,3,3,3+,8.0,Old Property,1909.95,1894.98,1800.05,0,0,0,0,1,1,49
flat,birla navya,sector 63a,3.7,15416.0,3,3,3+,1.0,Under Construction,2992.86,2667.0,2400.03,0,0,0,0,0,0,72
house,independent,sector 11,1.8,8078.0,8,5,2,1.0,Moderately Old,2778.44,2476.0,2228.02,0,0,0,0,0,0,0
flat,ss the leaf,sector 85,2.15,7645.0,4,5,3+,1.0,Relatively New,2811.96,2545.0,2290.0,0,1,0,0,0,0,165
flat,pareena laxmi apartments,sector 99a,0.32,5786.0,2,2,2,11.0,New Property,553.05,502.0,453.48,0,0,0,0,0,0,66
flat,m3m woodshire,sector 107,0.8,5856.0,2,2,3+,7.0,Relatively New,1366.05,1236.0,1112.0,0,0,0,0,0,1,165
flat,signature global park,sohna road,0.67,5537.0,2,2,3,4.0,Relatively New,1209.97,1095.0,986.0,0,0,0,1,0,0,127
flat,chd avenue,sector 71,1.4,7945.0,3,3,2,1.0,Moderately Old,2197.26,1958.0,1762.05,0,0,0,1,0,1,125
flat,supertech hues,sector 68,0.8,6779.0,2,2,3+,14.0,New Property,1304.0,1180.05,1062.0,0,0,0,0,0,1,26
house,bhim garh kheri,sector 3,0.75,6410.0,4,2,2,2.0,Old Property,1293.0,1170.04,1053.0,0,0,0,0,0,0,16
house,unitech uniworld resorts,sector 33,8.0,11428.0,4,4,3+,2.0,Old Property,7735.0,6999.98,6300.0,1,1,1,1,0,0,77
flat,ats kocoon,sector 109,1.7,12878.0,3,3,3,22.0,Relatively New,1745.04,1550.0,1319.98,0,0,0,0,0,0,103
flat,mahindra aura,sector 110,1.8,8814.0,3,3,3+,7.0,Relatively New,2042.02,1849.99,1650.0,0,1,0,0,0,1,136
flat,dlf new town heights,sector 86,1.26,6113.0,3,3,3,5.0,Moderately Old,1929.97,1747.0,1572.0,0,1,0,0,1,0,113
house,independent,sector 14,3.5,18088.0,6,4,2,2.0,Old Property,2089.63,1925.98,1619.97,0,0,0,0,1,1,27
flat,ireo victory valley,sector 67,4.55,14536.0,4,4,3+,19.0,Relatively New,3130.03,2833.0,2550.0,0,1,0,0,0,1,156
flat,chd avenue,sector 71,0.79,6594.0,2,2,2,8.0,Relatively New,1198.02,1084.0,976.0,0,0,0,0,1,0,0
flat,paras dews,sector 106,1.05,8536.0,3,4,3+,10.0,Relatively New,1760.01,1344.95,1229.99,0,1,0,0,0,0,174
flat,dlf the crest,sector 54,11.0,35483.0,4,5,3+,7.0,Relatively New,3865.26,3444.0,3100.0,1,1,0,1,0,0,49
flat,sare homes,sector 92,0.6,5000.0,3,2,3,4.0,Moderately Old,1496.12,1333.0,1199.96,0,0,0,0,0,1,49
flat,godrej frontier,sector 80,1.4,6189.0,3,4,2,6.0,Moderately Old,2262.03,1922.0,1633.96,0,1,0,1,0,0,111
flat,vatika iris floors,sector 82,0.63,5590.0,2,2,3+,2.0,Relatively New,1133.98,1026.0,923.0,1,0,0,0,0,0,110
flat,kamroon court,sector 43,2.75,13750.0,3,4,3+,5.0,Moderately Old,2493.78,2222.0,2000.04,0,1,0,0,1,1,49
flat,shree vardhman victoria,sector 70,1.25,9259.0,2,2,3,3.0,Relatively New,1350.01,1222.0,1100.0,1,0,0,0,0,0,43
flat,godrej,sector 79,1.12,7146.0,2,2,3,6.0,Relatively New,1571.96,1325.04,1199.96,1,0,0,0,0,0,49
flat,bestech park view residency,sector 2,1.55,8072.0,3,4,3+,4.0,Old Property,1919.96,1738.0,1564.0,0,1,0,0,0,0,84
flat,sobha city,sector 108,4.1,23401.0,4,5,3,25.0,New Property,2343.95,2342.98,1752.04,1,1,0,0,0,2,97
flat,adani m2k oyster grande,sector 102,2.4,9305.0,3,4,3+,3.0,Relatively New,2579.03,2334.0,2100.04,1,0,0,0,0,1,49
house,independent,sector 39,7.0,10000.0,10,11,3+,4.0,Relatively New,7735.0,6999.98,6300.0,0,0,0,1,0,1,38
flat,sare crescent parc,sector 92,0.8,4210.0,4,3,2,10.0,Relatively New,1900.04,1719.0,1547.0,0,0,0,0,1,0,37
flat,m3m merlin,sector 67,3.5,14583.0,3,4,3,17.0,Relatively New,2400.03,2225.0,2049.98,0,1,1,0,0,1,167
house,independent,sector 31,3.25,22429.0,4,4,3+,3.0,Moderately Old,1601.0,1449.04,1304.0,1,1,1,1,0,1,29
flat,ambience creacions,sector 22,2.79,15000.0,3,3,3,13.0,New Property,1860.0,1564.0,1299.96,0,0,0,0,0,2,158
flat,tulip violet,sector 69,1.38,8972.0,3,3,1,12.0,Relatively New,1917.82,1709.0,1537.95,0,0,0,0,0,0,174
house,dlf floors phase 3,sector 24,3.51,12342.0,4,4,3,4.0,Under Construction,3143.0,2844.04,2560.0,1,1,1,1,0,1,160
flat,emaar palm gardens,sector 83,1.4,8139.0,3,3,3,2.0,Relatively New,1719.96,1387.0,1095.33,1,1,1,1,0,1,174
flat,sare homes,sector 92,0.95,4250.0,4,3,2,16.0,New Property,2000.04,1983.03,1900.04,0,0,0,0,0,0,95
house,independent,sector 56,7.5,23148.0,8,8,3+,3.0,Relatively New,3580.0,3240.04,2916.0,1,1,0,1,0,2,42
flat,signature global infinity mall,sector 36,0.41,6269.0,2,2,3,3.0,New Property,723.0,654.01,589.0,0,0,0,0,0,0,0
flat,vatika city,sector 49,1.72,7818.0,3,3,2,2.0,Old Property,2743.04,2444.0,2200.03,0,0,0,0,0,1,144
house,unitech aspen greens,sector 50,6.8,31481.0,4,5,3,3.0,Old Property,2233.48,1980.02,1800.05,1,1,0,0,0,1,111
flat,gls arawali homes,sohna road,0.28,5982.0,2,2,2,3.0,Relatively New,583.57,520.0,468.01,0,0,0,0,0,0,42
flat,emaar palm gardens,sector 83,3.15,8400.0,5,7,3+,15.0,Relatively New,3750.04,3200.0,2444.91,0,1,0,0,0,1,165
flat,antriksh green,sector 45,2.25,7826.0,4,4,2,9.0,Old Property,3584.73,3194.0,2875.04,0,1,0,0,0,2,23
flat,raheja sampada,sector 92,0.9,6569.0,3,2,3,11.0,Relatively New,1370.03,1240.0,1116.0,0,0,0,0,0,0,88
flat,ireo the corridors,sector 67a,1.6,9264.0,3,3,2,3.0,New Property,1726.96,1346.0,1016.97,0,0,1,0,0,1,142
flat,vatika gurgaon,sector 83,0.95,6574.0,2,2,3,5.0,Relatively New,1444.95,1299.96,1199.96,0,0,0,0,0,1,96
flat,vipul belmonte,sector 53,6.5,21922.0,3,4,3+,0.0,Old Property,2965.02,2683.0,2415.0,1,0,0,0,1,0,72
house,independent,sector 17,0.32,5664.0,5,1,0,1.0,Moderately Old,624.0,565.0,508.0,0,0,0,0,0,0,0
flat,tata primanti,sector 72,3.21,16050.0,3,4,3+,15.0,Relatively New,2184.96,2139.97,2000.04,0,1,0,0,0,1,174
house,bptp visionnaire,sector 70a,5.25,20115.0,5,4,3+,3.0,New Property,2884.0,2610.03,2349.0,0,1,0,0,0,1,49
flat,umang winter hills,sector 77,1.4,6340.0,3,3,3,10.0,Relatively New,1917.0,1735.03,1562.0,0,0,0,0,0,0,28
house,independent,sector 50,10.56,32593.0,5,5,3,3.0,Moderately Old,3580.0,3240.04,2916.0,0,1,0,0,0,0,20
flat,eldeco accolade,sector 33,1.2,8043.0,2,2,2,0.0,Under Construction,1361.75,1491.98,848.95,0,0,0,0,0,0,56
flat,tulip violet,sector 69,1.38,8966.0,3,3,1,12.0,Relatively New,1537.95,1392.0,1253.0,0,0,0,1,0,0,86
house,independent,sector 105,1.2,10122.0,6,2,1,2.0,Old Property,1309.0,1185.0,1066.0,0,0,0,0,0,0,9
flat,hcbs sports ville,sector 2,0.35,4375.0,2,2,2,8.0,Relatively New,821.8,799.97,599.98,0,0,0,0,0,0,37
flat,cghs rail vihar,sector 15,1.4,10769.0,4,3,3,3.0,Old Property,1620.75,1444.0,1299.96,0,0,0,0,0,1,81
flat,shree balaji appartment,sector 33,0.4,5000.0,2,2,2,1.0,Relatively New,799.97,724.0,652.0,0,0,0,0,0,2,0
flat,smart world gems,sector 89,1.01,9156.0,2,2,2,4.0,Under Construction,1375.61,1226.0,1102.98,1,0,0,0,0,0,38
